"city","mean_price","state","y","x"
"Albany",232044.510273973,"NY","42°39′9.19″N","73°45′26.36″W"
"Annapolis",553058.433333333,"MD","38°58′43″N","76°29′28″W"
"Atlanta",412808.938576082,"GA","33°44′57.38″N","84°23′17.74″W"
"Augusta",286550.217391304,"ME","44°18′26.05″N","69°46′54.04″W"
"Austin",601673.176739927,"TX","30°16′29″N","97°44′26″W"
"Baton Rouge",329274.125693161,"LA","30°27′25.46″N","91°11′14.66″W"
"Bismarck",360594.75304878,"ND","46°49′14.93″N","100°46′57.87″W"
"Boise",573545.471929825,"ID","43°37′3.71″N","116°11′58.61″W"
"Boston",643704.775250227,"MA","42°21′27.75″N","71°3′48.83″W"
"Carson City",497676.605825243,"NV","39°9′50.67″N","119°45′58.65″W"
"Charleston",217429.345323741,"WV","38°20′11″N","81°36′44″W"
"Cheyenne",454753.585915493,"WY","41°8′25″N 104°49′11″W","104°49′11″W"
"Columbia",277700.701754386,"SC","34°0′1.56″N","81°1′59.33″W"
"Columbus",288782.125107852,"OH","39°57′41″N","82°59′56″W"
"Concord",418525.925925926,"NH","43°12′24.29″N","71°32′17.26″W"
"Denver",616196.600188147,"CO","39°44′20.74″N","104°59′5.63″W"
"Des Moines",204489.888137357,"IA","41°35′28.24″N","93°36′13.93″W"
"Dover",293830.866459627,"DE","39°9′26.3″N","75°31′11″W"
"Frankfort",235613.774358974,"KY","38°11′12.4″N","84°52′31.2″W"
"Harrisburg",220447.046137339,"PA","40°15′52″N","76°52′0″W"
"Helena",472007.41015625,"MT","46°35′8.52″N","112°1′6.24″W"
"Indianapolis",276988.008407517,"IN","39°46′7″N","86°9′45″W"
"Jackson",199733.217557252,"MS","32°18′14″N","90°10′56″W"
"Jefferson City",230176.315789474,"MO","38°34′44.83″N","92°10′22.77″W"
"Lansing",132210.655273438,"MI","42°44′1.42″N","84°33′20.12″W"
"Lincoln",331416.73495702,"NE","40°48′29.12″N","96°41′58.51″W"
"Little Rock",259050.958745875,"AR","34°44′48.33″N","92°17′19.54″W"
"Madison",375436.685393258,"WI","43°4′28″N","89°23′5″W"
"Montgomery",205397.706382979,"AL","32°22′38.81″N","86°18′3.39″W"
"Montpelier",426300,"VT","44°15′44″N","72°34′51″W"
"Nashville",510839.539763113,"TN","36°9′57″N","86°47′3″W"
"Oklahoma City",247418.827358988,"OK","35°29′32.21″N","97°30′12.14″W"
"Olympia",503528.5,"WA","47°02′07″N","122°54′23″W"
"Phoenix",453992.28225691,"AZ","33°26′53.15″N","112°5′49.54″W"
"Pierre",322741.638888889,"SD","44°22′1.8″N","100°20′46.87″W"
"Providence",332831.480943739,"RI","41°49′51″N","71°24′54″W"
"Raleigh",460800.677290837,"NC","35°46′49″N","78°38′21″W"
"Richmond",312796.218964606,"VA","37°32′19.53″N","77°26′0.94″W"
"Sacramento",500890.296675727,"CA","38°34′35.66″N","121°29′36.28″W"
"Saint Paul",297006.348456501,"MN","44°57′18.53″N","93°6′8.05″W"
"Salem",454186.465894466,"OR","44°56′19.43″N","123°1′48.35″W"
"Salt Lake City",554466.365795724,"UT","40°46′38″N","111°53′17″W"
"Santa Fe",551287.943661972,"NM","35°40′56.21″N","105°56′22.77″W"
"Springfield",174205.89347079,"IL","39°47′54.66″N","89°39′17.6″W"
"Tallahassee",310400.839712919,"FL","30°26′17.2″N","84°16′53.76″W"
"Topeka",185389.432372506,"KS","39°2′52.83″N","95°40′41.36″W"
"Trenton",195052.005244755,"NJ","40°13′13.57″N","74°46′11.65″W"
